Episode,Score,Epsilon,Total Reward
721,0,0.0271,-0.22
722,0,0.0269,-0.70
723,0,0.0268,-0.70
724,0,0.0267,-0.70
725,0,0.0265,-0.23
726,0,0.0264,-0.70
727,0,0.0263,-0.70
728,0,0.0261,-0.70
729,0,0.0260,-0.70
730,0,0.0259,-0.70
731,0,0.0258,-0.70
732,0,0.0256,-0.70
733,0,0.0255,-0.70
734,0,0.0254,-0.70
735,0,0.0252,-0.70
736,0,0.0251,-0.70
737,0,0.0250,-0.26
738,0,0.0249,-0.70
739,0,0.0247,-0.70
740,0,0.0246,-0.70
741,0,0.0245,-0.26
742,0,0.0244,-0.26
743,0,0.0243,-0.70
744,0,0.0241,-0.70
745,0,0.0240,-0.70
746,0,0.0239,-0.70
747,0,0.0238,-0.23
748,0,0.0237,-0.25
749,0,0.0235,-0.22
750,0,0.0234,-0.70
751,0,0.0233,-0.70
752,0,0.0232,-0.70
753,0,0.0231,-0.26
754,0,0.0229,-0.70
755,0,0.0228,-0.70
756,0,0.0227,-0.26
757,0,0.0226,-0.27
758,0,0.0225,-0.70
759,0,0.0224,-0.24
760,0,0.0223,-0.70
761,0,0.0222,-0.27
762,0,0.0220,-0.27
763,0,0.0219,-0.70
764,0,0.0218,-0.70
765,0,0.0217,-0.70
766,0,0.0216,-0.70
767,0,0.0215,-0.70
768,0,0.0214,-0.70
769,0,0.0213,-0.22
770,0,0.0212,-0.70
771,0,0.0211,-0.22
772,0,0.0210,-0.24
773,0,0.0209,-0.70
774,0,0.0208,-0.70
775,0,0.0207,-0.23
776,0,0.0206,-0.70
777,0,0.0205,-0.70
778,0,0.0203,-0.70
779,0,0.0202,-0.70
780,0,0.0201,-0.70
781,0,0.0200,-0.70
782,0,0.0199,-0.70
783,0,0.0198,-0.70
784,0,0.0197,-0.70
785,0,0.0196,-0.70
786,0,0.0195,-0.70
787,0,0.0195,-0.70
788,0,0.0194,-0.70
789,0,0.0193,-0.70
790,0,0.0192,-0.70
791,0,0.0191,-0.70
792,0,0.0190,-0.70
793,0,0.0189,-0.70
794,0,0.0188,-0.70
795,0,0.0187,-0.70
796,0,0.0186,-0.70
797,0,0.0185,-0.70
798,0,0.0184,-0.70
799,0,0.0183,-0.70
800,0,0.0182,-0.70
801,0,0.0181,-0.70
802,0,0.0180,-0.70
803,0,0.0180,-0.70
804,0,0.0179,-0.70
805,0,0.0178,-0.70
806,0,0.0177,-0.70
807,0,0.0176,-0.70
808,0,0.0175,-0.70
809,0,0.0174,-0.70
810,0,0.0173,-0.70
811,0,0.0172,-0.70
812,0,0.0172,-0.21
813,0,0.0171,-0.70
814,0,0.0170,-0.70
815,0,0.0169,-0.22
816,0,0.0168,-0.70
817,0,0.0167,-0.70
818,0,0.0167,-0.25
819,0,0.0166,-0.70
820,0,0.0165,-0.70
821,0,0.0164,-0.70
822,0,0.0163,-0.70
823,0,0.0162,-0.70
824,0,0.0162,-0.70
825,0,0.0161,-0.70
826,0,0.0160,-0.22
827,0,0.0159,-0.70
828,0,0.0158,-0.28
829,0,0.0158,-0.70
830,0,0.0157,-0.70
831,0,0.0156,-0.70
832,0,0.0155,-0.28
833,0,0.0154,-0.70
834,0,0.0154,-0.70
835,0,0.0153,-0.21
836,0,0.0152,-0.22
837,0,0.0151,-0.70
838,0,0.0151,-0.70
839,0,0.0150,-0.70
840,0,0.0149,-0.70
841,0,0.0148,-0.70
842,0,0.0148,-0.70
843,0,0.0147,-0.70
844,0,0.0146,-0.70
845,0,0.0145,-0.70
846,0,0.0145,-0.70
847,0,0.0144,-0.70
848,0,0.0143,-0.70
849,0,0.0143,-0.70
850,0,0.0142,-0.70
851,0,0.0141,-0.70
852,0,0.0140,-0.70
853,0,0.0140,-0.20
854,0,0.0139,-0.20
855,0,0.0138,-0.70
856,0,0.0138,-0.70
857,0,0.0137,-0.70
858,0,0.0136,-0.70
859,0,0.0136,-0.70
860,0,0.0135,-0.70
861,0,0.0134,-0.70
862,0,0.0134,-0.70
863,0,0.0133,-0.70
864,0,0.0132,-0.70
865,0,0.0132,-0.70
866,0,0.0131,-0.70
867,0,0.0130,-0.70
868,0,0.0130,-0.70
869,0,0.0129,-0.70
870,0,0.0128,-0.70
871,0,0.0128,-0.70
872,0,0.0127,-0.70
873,0,0.0126,-0.70
874,0,0.0126,-0.70
875,0,0.0125,-0.70
876,0,0.0125,-0.70
877,0,0.0124,-0.70
878,0,0.0123,-0.70
879,0,0.0123,-0.24
880,0,0.0122,-0.70
881,0,0.0121,-0.70
882,0,0.0121,-0.70
883,0,0.0120,-0.70
884,0,0.0120,-0.70
885,0,0.0119,-0.70
886,0,0.0118,-0.70
887,0,0.0118,-0.70
888,0,0.0117,-0.70
889,0,0.0117,-0.70
890,0,0.0116,-0.70
891,0,0.0115,-0.70
892,0,0.0115,-0.70
893,0,0.0114,-0.70
894,0,0.0114,-0.70
895,0,0.0113,-0.70
896,0,0.0113,-0.70
897,0,0.0112,-0.70
898,0,0.0112,-0.70
899,0,0.0111,-0.70
900,0,0.0110,-0.70
901,0,0.0110,-0.70
902,0,0.0109,-0.70
903,0,0.0109,-0.70
904,0,0.0108,-0.70
905,0,0.0108,-0.70
906,0,0.0107,-0.70
907,0,0.0107,-0.70
908,0,0.0106,-0.70
909,0,0.0106,-0.70
910,0,0.0105,-0.70
911,0,0.0104,-0.70
912,0,0.0104,-0.70
913,0,0.0103,-0.70
914,0,0.0103,-0.70
915,0,0.0102,-0.70
916,0,0.0102,-0.70
917,0,0.0101,-0.70
918,0,0.0101,-0.70
919,0,0.0100,-0.70
920,0,0.0100,-0.70
921,0,0.0100,-0.70
922,0,0.0100,-0.70
923,0,0.0100,-0.70
924,0,0.0100,-0.69
925,0,0.0100,-0.69
926,0,0.0100,-0.70
927,0,0.0100,-0.70
928,0,0.0100,-0.70
929,0,0.0100,-0.70
930,0,0.0100,-0.70
931,0,0.0100,-0.70
932,0,0.0100,-0.70
933,0,0.0100,-0.70
934,0,0.0100,-0.70
935,0,0.0100,-0.70
936,0,0.0100,-0.70
937,0,0.0100,-0.67
938,0,0.0100,-0.70
939,0,0.0100,-0.70
940,0,0.0100,-0.70
941,0,0.0100,-0.70
942,0,0.0100,-0.63
943,0,0.0100,-0.69
944,0,0.0100,-0.65
945,0,0.0100,-0.70
946,0,0.0100,-0.70
947,0,0.0100,-0.70
948,0,0.0100,-0.70
949,0,0.0100,-0.70
950,0,0.0100,-0.70
951,0,0.0100,-0.70
952,0,0.0100,-0.70
953,0,0.0100,-0.70
954,0,0.0100,-0.70
955,0,0.0100,-0.70
956,0,0.0100,-0.70
957,0,0.0100,-0.70
958,0,0.0100,-0.70
959,0,0.0100,-0.70
960,0,0.0100,-0.70
961,0,0.0100,-0.70
962,0,0.0100,-0.70
963,0,0.0100,-0.70
964,0,0.0100,-0.70
965,0,0.0100,-0.67
966,0,0.0100,-0.69
967,0,0.0100,-0.67
968,0,0.0100,-0.68
969,0,0.0100,-0.70
970,0,0.0100,-0.70
971,0,0.0100,-0.70
972,0,0.0100,-0.70
973,0,0.0100,-0.70
974,0,0.0100,-0.70
975,0,0.0100,-0.65
976,0,0.0100,-0.70
977,0,0.0100,-0.67
978,0,0.0100,-0.70
979,0,0.0100,-0.65
980,0,0.0100,-0.65
981,0,0.0100,-0.66
982,0,0.0100,-0.70
983,0,0.0100,-0.65
984,0,0.0100,-0.70
985,0,0.0100,-0.70
986,0,0.0100,-0.64
987,0,0.0100,-0.70
988,0,0.0100,-0.65
989,0,0.0100,-0.66
990,0,0.0100,-0.70
991,0,0.0100,-0.62
992,0,0.0100,-0.63
993,0,0.0100,-0.70
994,1,0.0100,0.56
